3 0.778637 0.829071 0.430047 0.341858 0.304495
3 0.778637 0.829071 0.430047 0.341858 0.304495
0 0.773832 0.910278 0.452336 0.175158 0.112436
3 0.603563 0.571878 0.785623 0.787002 0.108851
2 0.0183901 0.0956462 0.0349325 0.18293 0.133269
3 0.3006 0.906085 0.599731 0.184998 0.303164
2 0.585345 0.102335 0.497639 0.199051 0.153455
3 0.3006 0.906085 0.599731 0.184998 0.303164
1 0.621952 0.275914 0.469478 0.278344 0.263141
3 0.826596 0.94248 0.345251 0.11172 0.131188
1 0.621952 0.275914 0.469478 0.278344 0.263141
3 0.834229 0.901134 0.331542 0.189718 0.388158
3 0.834229 0.901134 0.331542 0.189718 0.388158
1 0.683007 0.304296 0.329602 0.201536 0.520307
3 0.862947 0.902464 0.270288 0.192117 0.175578
1 0.683007 0.304296 0.329602 0.201536 0.520307
1 0.701826 0.319922 0.294959 0.180241 0.867403
3 0.698873 0.947532 0.602254 0.104461 0.323096
1 0.701826 0.319922 0.294959 0.180241 0.867403 1
1 0.731614 0.329555 0.291297 0.184231 0.914873 1
1 0.734488 0.333784 0.300992 0.187666 0.837593 1
1 0.768243 0.372342 0.297269 0.196708 0.905328 1
1 0.770973 0.373253 0.304306 0.195836 0.91325 1
1 0.795284 0.392638 0.288238 0.19311 0.885968 1
1 0.798998 0.390387 0.294487 0.202007 0.756205 1
1 0.803264 0.391407 0.286351 0.192222 0.932456 1
1 0.805313 0.392983 0.294659 0.196341 0.877137 1
1 0.797487 0.395874 0.286266 0.195223 0.922393 1
1 0.799267 0.395784 0.2945 0.197112 0.869301 1
1 0.799794 0.410873 0.285862 0.198914 0.921638 1
1 0.801519 0.414635 0.288819 0.195188 0.83391 1
1 0.80131 0.43211 0.286607 0.207419 0.888533 1
1 0.802097 0.433973 0.290987 0.215913 0.68114 1
1 0.800503 0.4391 0.283874 0.216325 0.93572 1
1 0.801603 0.439709 0.288758 0.224956 0.884845 1
1 0.804008 0.436389 0.285757 0.20048 0.942176 1
1 0.804224 0.441537 0.290376 0.201106 0.905134 1
1 0.801042 0.458018 0.28861 0.211649 0.933846 1
1 0.80438 0.455893 0.292385 0.221992 0.922755 1
1 0.801243 0.466561 0.285386 0.222692 0.941771 1
1 0.801433 0.471167 0.288046 0.21908 0.919284 1
1 0.801187 0.462307 0.285593 0.214369 0.915812 1
1 0.802106 0.468912 0.29086 0.216314 0.92922 1
1 0.798743 0.450532 0.292617 0.197576 0.920793 1
1 0.798751 0.453321 0.297542 0.194504 0.908347 1
1 0.799117 0.435337 0.293407 0.194182 0.935384 1
1 0.800729 0.43553 0.298661 0.189509 0.918474 1
1 0.800297 0.437813 0.288308 0.186633 0.951813 1
1 0.801116 0.439631 0.292365 0.185763 0.881433 1
1 0.798443 0.440011 0.287785 0.181771 0.951021 1
1 0.798972 0.44191 0.295354 0.18163 0.902097 1
1 0.797967 0.44209 0.289184 0.181624 0.935193 1
1 0.798183 0.442582 0.296275 0.176946 0.931066 1
1 0.798692 0.448595 0.286163 0.191704 0.898269 1
1 0.801133 0.453086 0.291471 0.194562 0.840613 1
1 0.799841 0.437164 0.293549 0.195089 0.918109 1
1 0.801261 0.439138 0.300797 0.194999 0.904071 1
1 0.809388 0.422407 0.286198 0.18963 0.933151 1
1 0.809852 0.41214 0.295418 0.215755 0.803587 1
1 0.832955 0.391683 0.286401 0.204733 0.929888 1
1 0.832132 0.396736 0.294881 0.199819 0.877106 1
3 0.706527 0.942647 0.586924 0.111561 0.634688 22
1 0.853696 0.375331 0.292303 0.198123 0.844274 1
3 0.700902 0.929685 0.598196 0.133092 0.585543 22
1 0.854484 0.378486 0.290143 0.189641 0.913384 1
3 0.692299 0.91498 0.61467 0.168131 0.689876 22
1 0.862723 0.365461 0.274554 0.196016 0.885314 1
3 0.700385 0.917805 0.599229 0.16439 0.257471 22
1 0.863534 0.368813 0.272931 0.194675 0.851503 1
3 0.692248 0.908099 0.61167 0.181856 0.555836 22
1 0.868302 0.355685 0.263396 0.19608 0.878579 1
3 0.692522 0.914848 0.614033 0.16722 0.205558 22
1 0.86693 0.359742 0.264984 0.19131 0.771447 1
1 0.862517 0.361081 0.269321 0.19593 0.846758 1
1 0.8615 0.362005 0.274077 0.195707 0.851601 1
1 0.858763 0.398069 0.271013 0.244542 0.887695 1
3 0.693893 0.92778 0.605356 0.14444 0.55003 22
1 0.857334 0.407502 0.274994 0.248773 0.876036 1
3 0.694934 0.908567 0.606358 0.179261 0.460013 22
1 0.851278 0.406541 0.275552 0.243526 0.922211 1
3 0.691746 0.921248 0.607883 0.157355 0.554579 22
1 0.851608 0.417262 0.278859 0.238559 0.927211 1
3 0.706848 0.916255 0.582573 0.164995 0.518393 22
1 0.851388 0.40861 0.275693 0.241382 0.924734 1
3 0.702038 0.92289 0.59344 0.14959 0.579333 22
1 0.853112 0.414921 0.282353 0.239358 0.898282 1
3 0.69857 0.915542 0.601672 0.165723 0.531572 22
1 0.850299 0.407695 0.278447 0.24037 0.947585 1
3 0.706961 0.925038 0.583978 0.146951 0.634302 22
1 0.851606 0.415315 0.285089 0.238903 0.904516 1
3 0.699736 0.913266 0.59975 0.167471 0.756581 22
1 0.850691 0.401041 0.27975 0.228985 0.90733 1
3 0.698876 0.921933 0.602247 0.150617 0.587181 22
1 0.851479 0.408627 0.286401 0.220375 0.854064 1
3 0.696856 0.915751 0.606263 0.164972 0.490185 22
1 0.852162 0.396986 0.280883 0.218241 0.909942 1
3 0.699568 0.923595 0.600865 0.151583 0.534115 22
1 0.852547 0.403833 0.285297 0.215075 0.852888 1
3 0.693973 0.916136 0.612054 0.165168 0.454633 22
1 0.857836 0.386463 0.281465 0.205012 0.801544 1
3 0.745705 0.919794 0.508591 0.15449 0.450115 22
1 0.855217 0.39366 0.285901 0.196538 0.834415 1
3 0.712367 0.904629 0.575267 0.184603 0.360645 22
1 0.858918 0.399824 0.277038 0.223441 0.856902 1
3 0.711929 0.918618 0.575733 0.162763 0.4572 22
1 0.857707 0.405577 0.277871 0.223756 0.83984 1
1 0.862607 0.40098 0.272613 0.235955 0.912871 1
