3 0.96521 0.857305 0.0665071 0.281577 0.254367
3 0.693642 0.750367 0.600406 0.499265 0.892624
3 0.554158 0.747156 0.87291 0.505688 0.410373
3 0.693642 0.750367 0.600406 0.499265 0.892624 1
3 0.657222 0.781076 0.621497 0.437847 0.830143 1
3 0.663958 0.763046 0.645295 0.47111 0.870127 1
3 0.710235 0.809213 0.57953 0.381573 0.739069 1
3 0.704905 0.798162 0.59019 0.391277 0.360064 1
3 0.670002 0.797426 0.657733 0.384645 0.621902 1
3 0.669163 0.787564 0.659893 0.403545 0.824143 1
3 0.662937 0.802492 0.665139 0.379237 0.521149 1
3 0.603463 0.792325 0.785428 0.394168 0.599393 1
4 0.798135 0.0896369 0.31823 0.164437 0.607327 6
3 0.593699 0.803318 0.812602 0.372742 0.100367 1
1 0.816126 0.0890233 0.318906 0.162804 0.899467 6
3 0.636933 0.797313 0.716664 0.38392 0.466885 1
4 0.799617 0.0863271 0.314586 0.156812 0.270723 6
3 0.64525 0.783435 0.706584 0.391888 0.589942 1
1 0.836807 0.0714662 0.306593 0.142932 0.809105 6
3 0.646294 0.779512 0.697172 0.41314 0.691053 1
1 0.850661 0.0924354 0.298678 0.1801 0.480314
3 0.815466 0.936732 0.369068 0.120875 0.129814
1 0.850661 0.0924354 0.298678 0.1801 0.480314
1 0.769553 0.295982 0.403977 0.207492 0.714866 6
3 0.829834 0.938358 0.340332 0.115017 0.114707
1 0.683019 0.40644 0.358997 0.217805 0.911546 6
1 0.682992 0.407668 0.366477 0.214094 0.755947 6
1 0.677595 0.398055 0.359298 0.219967 0.849134 6
1 0.676875 0.399583 0.364603 0.212026 0.88772 6
3 0.855802 0.942142 0.288355 0.113756 0.724158 7
1 0.692851 0.369337 0.348607 0.21634 0.826295 6
3 0.842023 0.925721 0.315955 0.1324 0.702144 7
1 0.700045 0.372693 0.375967 0.215875 0.65289 6
3 0.83699 0.913254 0.325091 0.173492 0.773751 7
1 0.701312 0.359068 0.345696 0.212823 0.833159 6
3 0.83338 0.91289 0.332797 0.16844 0.636952 7
1 0.707817 0.363091 0.359005 0.20505 0.332315 6
3 0.828501 0.897645 0.340243 0.20471 0.777047 7
1 0.696698 0.352248 0.358514 0.211952 0.882794 6
3 0.851859 0.905952 0.294979 0.186954 0.619726 7
1 0.701101 0.351942 0.375855 0.210319 0.867457 6
3 0.848473 0.890478 0.300848 0.219044 0.662253 7
1 0.702268 0.34578 0.357146 0.210391 0.843732 6
3 0.846263 0.900488 0.307475 0.195825 0.509577 7
3 0.836882 0.920283 0.324441 0.159435 0.370329 7
3 0.826987 0.924499 0.345956 0.150787 0.741825 7
1 0.675874 0.336176 0.404497 0.220051 0.830738 6
3 0.823119 0.911795 0.351966 0.17641 0.834146 7
1 0.69447 0.343477 0.428666 0.215484 0.591051 6
3 0.821098 0.917589 0.356708 0.164821 0.740641 7
1 0.678586 0.334599 0.427179 0.22492 0.832452 6
3 0.816209 0.906174 0.365676 0.187652 0.767908 7
1 0.690249 0.340832 0.45954 0.223299 0.258288 6
3 0.820857 0.915627 0.356719 0.168746 0.639178 7
1 0.683923 0.335733 0.422566 0.224886 0.815279 6
3 0.816353 0.90828 0.36545 0.182564 0.700172 7
1 0.69221 0.339351 0.436559 0.218977 0.253471 6
3 0.821633 0.91445 0.353928 0.170904 0.643016 7
1 0.696038 0.335922 0.379448 0.218679 0.842784 6
3 0.819194 0.902752 0.359687 0.191693 0.64676 7
1 0.712317 0.341804 0.407746 0.215205 0.570767 6
3 0.819199 0.9127 0.359799 0.172485 0.727658 7
1 0.700614 0.334353 0.376117 0.221048 0.791688 6
3 0.816764 0.897138 0.365128 0.204748 0.800178 7
3 0.819982 0.916183 0.360036 0.167635 0.709798 7
1 0.698066 0.333656 0.361757 0.221854 0.815459 6
3 0.817747 0.905142 0.363971 0.186641 0.672091 7
1 0.710746 0.341052 0.403181 0.217215 0.404233 6
3 0.821631 0.913767 0.356738 0.172465 0.777752 7
1 0.713807 0.324628 0.363008 0.223569 0.893893 6
3 0.818054 0.899542 0.363343 0.200698 0.787854 7
1 0.726626 0.328971 0.386311 0.215343 0.441631 6
3 0.831644 0.915806 0.335721 0.168388 0.691239 7
1 0.71115 0.324384 0.379185 0.220574 0.788298 6
3 0.829 0.902511 0.340191 0.191994 0.731855 7
3 0.832746 0.921829 0.332072 0.154203 0.629288 7
1 0.705574 0.325269 0.364441 0.225021 0.813185 6
3 0.830339 0.910188 0.33664 0.176946 0.750645 7
3 0.838745 0.918419 0.322511 0.159296 0.7671 7
1 0.697566 0.319896 0.381372 0.227431 0.843082 6
3 0.83637 0.915988 0.326844 0.164901 0.773166 7
1 0.713062 0.324254 0.408698 0.22528 0.269864 6
3 0.849679 0.923064 0.300642 0.153873 0.794366 7
1 0.724063 0.33362 0.387008 0.229571 0.792278 6
3 0.849879 0.911972 0.300111 0.176056 0.453857 7
3 0.878243 0.932862 0.243514 0.134276 0.201915 7
1 0.72857 0.361987 0.382243 0.228644 0.804036 6
3 0.884468 0.919402 0.228668 0.159509 0.305626 7
1 0.743626 0.364427 0.395072 0.226191 0.360511 6
1 0.746343 0.363478 0.376894 0.233301 0.75523 6
1 0.749044 0.359334 0.375314 0.230274 0.811875 6
1 0.755651 0.360388 0.388586 0.227124 0.913211 6
1 0.754517 0.395939 0.395229 0.242389 0.770494 6
1 0.759162 0.545953 0.434659 0.255727 0.755055 6
2 0.748541 0.549561 0.424901 0.247163 0.828681 6
3 0.58163 0.472359 0.83674 0.937948 0.10088
