1 0.786936 0.438959 0.408441 0.448303 0.566974
1 0.786936 0.438959 0.408441 0.448303 0.566974
1 0.81963 0.40096 0.360447 0.451997 0.186972
1 0.772188 0.284853 0.454646 0.460379 0.190669
1 0.770582 0.293924 0.458218 0.456205 0.190275
1 0.78055 0.319279 0.436593 0.452357 0.668453
1 0.78055 0.319279 0.436593 0.452357 0.668453 1
1 0.783684 0.332669 0.417732 0.45256 0.58993 1
1 0.77093 0.322235 0.432794 0.436648 0.446296 1
1 0.762807 0.325102 0.457225 0.448802 0.107775 1
1 0.770284 0.349046 0.456625 0.456742 0.122237 1
1 0.777067 0.357453 0.445867 0.467613 0.227709 1
1 0.775617 0.35584 0.448765 0.461006 0.252588 1
1 0.780168 0.351715 0.439664 0.455556 0.128283 1
1 0.787654 0.345068 0.42061 0.449034 0.14475 1
1 0.787683 0.34407 0.415216 0.444612 0.194329 1
1 0.789503 0.346662 0.410202 0.44217 0.172886 1
1 0.788134 0.344121 0.411156 0.440881 0.179896 1
1 0.789748 0.349115 0.407038 0.445239 0.128635 1
1 0.789738 0.351097 0.406411 0.451214 0.150038 1
1 0.789188 0.349839 0.407239 0.451428 0.114131 1
1 0.791147 0.349238 0.404312 0.449385 0.102723 1
1 0.791101 0.350809 0.405653 0.452384 0.11291 1
